gers_id,name,brand_token,latitude,longitude,city,state,tier,matched_opis_id,matched_name,matched_geocode_precision,distance_mi,decision,reason
01b2c2c7-8e9a-46a6-8e1b-033fd2ab4350,ARCO,,38.05438654,-121.37594736,Stockton,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01b95f4a-f877-4033-8591-d96f3d0bf26a,ARCO,,33.16735200,-117.24719900,Vista,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01bc9bbd-5ddb-4727-8785-9b66efb13ee5,Chevron,,37.92948101,-122.51653333,Corte Madera,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01c1c2ba-05f9-4809-b525-7da552b79a95,Shell,,38.28975222,-122.45802969,Sonoma,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01c93729-5bf0-40f5-82f0-bfab90225f2b,76,,37.68413600,-122.09019000,Hayward,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01d30f39-7c16-4b03-8316-df98587a949a,Chevron,,37.77213132,-122.41890655,San Francisco,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01d31f5d-ecab-428a-82e4-69ce94b48e17,ARCO,,33.93114769,-118.33538101,Inglewood,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01d76814-a4d4-4f49-8fe2-b295af00b3e9,Valero,,39.32810939,-120.18387844,Truckee,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01e567df-84a6-49e0-8b32-45769540530a,Chevron,,33.21762610,-117.22542340,VISTA,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01f3aaea-2680-4e97-b763-ca9894f20024,United Oil,,34.20153753,-118.44860825,Van Nuys,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01fab975-778f-404b-a0c8-5a4ac27a62f7,Mobil,,34.27233862,-118.50193014,Granada Hills,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01fbf01c-cc8a-4559-be88-789a87fa2fba,ARCO,,34.53630371,-117.29333121,Victorville,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
01fe3470-7fe8-4330-ae61-1325766a522f,Marathon,,38.08227818,-122.23799403,Vallejo,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0208c603-a82f-458a-93bb-412e20fa1528,Chevron,,37.80071754,-122.43089271,San Francisco,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
020b4176-7bd0-4c00-8934-f92166fd2b2a,Mobil,,33.99992858,-117.84363892,Walnut,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0214e728-fd6e-475e-9131-31b154152acc,Stars & Stripes Travel Center,,32.68226603,-117.10987735,National City,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02223683-192c-4b31-94f0-d2d5d41f2ea0,Exxon,,37.97783068,-122.03067941,Concord,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0227e28e-2354-491a-952a-55da597b78a9,Valero,,38.32069004,-122.30970490,Napa,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
022860ce-55ed-4289-8316-f6c981dc8228,Shell,,39.16666726,-120.14665977,Tahoe City,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
022af5cf-9e37-4b14-9ddd-2cc566489579,Sebastopol Fast Gas,,38.38863434,-122.81522130,Sebastopol,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0231124d-1a59-4aac-a87b-b4b374c0998c,76,,33.90350800,-118.15111300,Paramount,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02314e46-ed58-4eee-b273-892006d0c2cb,Conico Coro,,35.29373129,-120.66813500,San Luis Obispo,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
023bef05-41c0-4ab4-bfba-67532ca82d05,BP,,33.13032093,-117.05832283,Escondido,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0245ec9d-ad3b-4b98-b6e5-faca92f43bea,Chevron,,34.06822180,-118.09931720,ROSEMEAD,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
