opis_id,name,address,city,state,rack_id,retail_price,observation_count,price_min,price_max,latitude,longitude,geocode_precision,geocode_status
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.59900000,1,3.59900000,3.59900000,43.63542800,-72.25383700,city,ok
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.35900000,1,4.35900000,4.35900000,41.52126600,-74.23866100,city,ok
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,1,3.15233333,3.15233333,41.80074900,-80.94625100,city,ok
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39819470,6,4.39625375,4.40695023,,,,out_of_scope
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.37900000,1,3.37900000,3.37900000,44.62692800,-123.09674100,city,ok
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,1,2.98566666,2.98566666,35.87195000,-88.14493600,city,ok
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,1,3.42566666,3.42566666,35.99152070,-83.96879456,rooftop,ok
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,6,4.39948962,4.60231851,,,,out_of_scope
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.49900000,1,3.49900000,3.49900000,31.91848500,-106.60106200,city,ok
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.54900000,1,3.54900000,3.54900000,39.85472800,-75.19868500,city,ok
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,1,3.20566666,3.20566666,45.30557300,-97.03910600,city,ok
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.49900000,1,4.49900000,4.49900000,42.16229000,-78.97969000,city,ok
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.49900000,1,3.49900000,3.49900000,37.69063800,-97.34583600,city,ok
692,BP,US-63,Ottumwa,IA,489,3.39900000,1,3.39900000,3.39900000,41.02225100,-92.42326300,city,ok
739,Arco #364420,US-23,Greenup,KY,255,3.64900000,1,3.64900000,3.64900000,38.56650200,-82.82362000,city,ok
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,1,3.17233333,3.17233333,40.35016500,-104.74835500,city,ok
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,1,3.01566666,3.01566666,40.35989000,-91.45939100,city,ok
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.48900000,1,3.48900000,3.48900000,43.01221300,-89.89816800,city,ok
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.37900000,3,3.28900000,3.49900000,42.31669600,-87.85920100,city,ok
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.49900000,1,3.49900000,3.49900000,32.74722600,-81.64069300,city,ok
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.29100000,2,3.29100000,3.49900000,35.14955400,-90.19926600,city,ok
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,1,3.46566666,3.46566666,33.32183000,-86.74219700,city,ok
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,1,3.12566666,3.12566666,,,,failed
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,1,3.03233333,3.03233333,35.07440400,-92.46700400,city,ok
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,1,3.39233333,3.39233333,33.57215400,-112.09013200,city,ok
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.95900000,2,3.95900000,3.95900000,33.66750700,-114.21704100,city,ok
