name,state,lat,lng
Smiths Station city,AL,32.522852,-85.099425
Smoke Rise CDP,AL,33.879942,-86.824683
Snead town,AL,34.116228,-86.390916
Somerville town,AL,34.467053,-86.791203
Southside city,AL,33.890841,-86.01802
South Vinemont town,AL,34.235567,-86.863965
Spanish Fort city,AL,30.722968,-87.865917
Spring Garden CDP,AL,33.972965,-85.555756
Springville city,AL,33.74052,-86.484086
Spruce Pine CDP,AL,34.39287,-87.729597
Standing Rock CDP,AL,33.08569,-85.239849
Stapleton CDP,AL,30.735558,-87.797727
Steele town,AL,33.941378,-86.192107
Sterrett CDP,AL,33.442198,-86.461045
Stevenson town,AL,34.876797,-85.81435
Stewartville CDP,AL,33.075532,-86.260693
Stockton CDP,AL,31.001245,-87.873929
Sulligent town,AL,33.891189,-88.126633
Sumiton city,AL,33.749269,-87.046903
Summerdale town,AL,30.476741,-87.687561
Susan Moore town,AL,34.072993,-86.414156
Sweet Water town,AL,32.104614,-87.861889
Sylacauga city,AL,33.18867,-86.274799
Sylvania town,AL,34.562039,-85.804722
Sylvan Springs town,AL,33.530194,-87.031158
Talladega city,AL,33.431757,-86.099454
Talladega Springs town,AL,33.120452,-86.437761
Tallassee city,AL,32.532665,-85.891993
Tarrant city,AL,33.592897,-86.766253
Taylor city,AL,31.168811,-85.47579
Theodore CDP,AL,30.538686,-88.187573
Thomaston town,AL,32.268277,-87.623706
Thomasville city,AL,31.915011,-87.737204
Thorsby city,AL,32.916909,-86.720335
Tibbie CDP,AL,31.37049,-88.243862
Tidmore Bend CDP,AL,34.033184,-85.926387
Tillmans Corner CDP,AL,30.581533,-88.21278
Town Creek town,AL,34.671301,-87.407763
Toxey town,AL,31.910712,-88.309146
Trafford town,AL,33.818713,-86.746502
Triana city,AL,34.587779,-86.748488
Trinity city,AL,34.597445,-87.081354
Troy city,AL,31.80196,-85.96713
Trussville city,AL,33.655233,-86.563239
Tuscaloosa city,AL,33.234404,-87.5283
Tuscumbia city,AL,34.718502,-87.702586
Tuskegee city,AL,32.418723,-85.682509
Twin town,AL,33.992314,-87.852295
Underwood-Petersville CDP,AL,34.876112,-87.698157
Union town,AL,32.99381,-87.907179
Union Grove town,AL,34.406172,-86.451667
Union Springs city,AL,32.139506,-85.714623
Uniontown city,AL,32.44662,-87.487271
Uriah CDP,AL,31.307365,-87.499213
Valley city,AL,32.808736,-85.18108
Valley Grande city,AL,32.486872,-87.032773
Valley Head town,AL,34.556234,-85.623008
Vance city,AL,33.173992,-87.226627
Vandiver CDP,AL,33.458856,-86.529222
Vernon town,AL,33.758816,-88.114291
Vestavia Hills city,AL,33.462496,-86.739508
Vina town,AL,34.376175,-88.060572
Vincent town,AL,33.383145,-86.402544
Vinegar Bend CDP,AL,31.259093,-88.367264
Vredenburgh town,AL,31.823234,-87.318077
Wadley town,AL,33.1234,-85.568592
Waldo town,AL,33.387083,-86.041075
Walnut Grove town,AL,34.064595,-86.28717
Warrior city,AL,33.814858,-86.81565
Waterloo town,AL,34.917199,-88.064373
Waverly town,AL,32.730078,-85.570999
Weaver city,AL,33.75907,-85.809363
Webb town,AL,31.257237,-85.289622
Wedowee town,AL,33.308004,-85.4865
Weogufka CDP,AL,33.021724,-86.309146
West Blocton town,AL,33.118176,-87.125225
West End-Cobb Town CDP,AL,33.651481,-85.876553
West Jefferson town,AL,33.673375,-87.040582
Westover town,AL,33.36734,-86.533986
West Point town,AL,34.238735,-86.964017
Wetumpka city,AL,32.542018,-86.205307
Whatley CDP,AL,31.646343,-87.710836
White Hall town,AL,32.297411,-86.715776
White Plains CDP,AL,33.759312,-85.68847
Whitesboro CDP,AL,34.169004,-86.058499
Wilsonville town,AL,33.240752,-86.491105
Wilton town,AL,33.081565,-86.879655
Winfield city,AL,33.934717,-87.79131
Woodland town,AL,33.374432,-85.39753
Woodstock town,AL,33.217498,-87.148433
Woodville town,AL,34.629535,-86.283558
Yellow Bluff town,AL,31.962341,-87.477359
York city,AL,32.500586,-88.291394
Aguila CDP,AZ,33.9374,-113.167329
Ajo CDP,AZ,32.392279,-112.883874
Ak Chin CDP,AZ,32.287326,-112.009078
Ak-Chin Village CDP,AZ,33.019602,-112.080875
Alamo Lake CDP,AZ,34.255851,-113.500313
Ali Chuk CDP,AZ,31.816919,-112.558394
Ali Chukson CDP,AZ,31.911528,-111.801625
Ali Molina CDP,AZ,31.902547,-111.780387
Alpine CDP,AZ,33.845524,-109.143692
Amado CDP,AZ,31.697358,-111.060803
Anegam CDP,AZ,32.374193,-112.034963
Antares CDP,AZ,35.422991,-113.808288
Anthem CDP,AZ,33.846766,-112.126999
Apache Junction city,AZ,33.382766,-111.540509
Arivaca CDP,AZ,31.574938,-111.292611
Arivaca Junction CDP,AZ,31.738891,-111.073596
Arizona City CDP,AZ,32.750852,-111.670514
Arizona Village CDP,AZ,34.854836,-114.589339
Arlington CDP,AZ,33.334622,-112.77475
Ash Fork CDP,AZ,35.217187,-112.4913
Avenue B and C CDP,AZ,32.719042,-114.660049
Avondale city,AZ,33.313236,-112.328928
Avra Valley CDP,AZ,32.419132,-111.339442
Aztec CDP,AZ,32.807567,-113.442477
Bagdad CDP,AZ,34.577199,-113.176818
Bear Flat CDP,AZ,34.291313,-111.067426
Beaver Dam CDP,AZ,36.906981,-113.936181
Beaver Valley CDP,AZ,34.342889,-111.299928
Bellemont CDP,AZ,35.242489,-111.813789
Benson city,AZ,31.914497,-110.328552
Beyerville CDP,AZ,31.392047,-110.874917
Bisbee city,AZ,31.398036,-109.931834
Bitter Springs CDP,AZ,36.612804,-111.646387
Black Canyon City CDP,AZ,34.071413,-112.122411
Blackwater CDP,AZ,33.039565,-111.579932
Blue Ridge CDP,AZ,34.640739,-111.107383
Bluewater CDP,AZ,34.170415,-114.262886
Bouse CDP,AZ,33.898476,-113.996364
Bowie CDP,AZ,32.32488,-109.484456
Brenda CDP,AZ,33.672082,-113.937883
Bryce CDP,AZ,32.925827,-109.823078
Buckeye city,AZ,33.431573,-112.641626
Buckshot CDP,AZ,32.740349,-114.483064
Bullhead City city,AZ,35.127371,-114.55599
Burnside CDP,AZ,35.75336,-109.624792
Bylas CDP,AZ,33.127373,-110.115041
Cactus Flats CDP,AZ,32.760507,-109.721273
Cactus Forest CDP,AZ,32.957823,-111.316922
Cameron CDP,AZ,35.853195,-111.428581
Campo Bonito CDP,AZ,32.562885,-110.69843
Camp Verde town,AZ,34.569405,-111.857014
Cane Beds CDP,AZ,36.934154,-112.911787
Canyon Day CDP,AZ,33.778891,-110.038193
Carefree town,AZ,33.823214,-111.913271
Carrizo CDP,AZ,33.979354,-110.331096
Casa Blanca CDP,AZ,33.115452,-111.908087
Casa Grande city,AZ,32.906763,-111.763385
